weekly,segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,minimum_lot,tick_size,asset_type,underlying_type,trading_symbol,strike_price,qty_multiplier,isin,security_type,asset_key,underlying_key,mtf_enabled,mtf_bracket,short_name,last_trading_date,price_quote_unit,country,latency,start_time,end_time,week_days
0.0,NSE_FO,NIFTY,NSE,1782844199000.0,CE,NIFTY,NIFTY,NSE_FO|50973,65.0,1755.0,50973,65.0,5.0,INDEX,INDEX,NIFTY 27000 CE 30 JUN 26,27000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
0.0,NSE_FO,NIFTY,NSE,1782844199000.0,PE,NIFTY,NIFTY,NSE_FO|50976,65.0,1755.0,50976,65.0,5.0,INDEX,INDEX,NIFTY 27000 PE 30 JUN 26,27000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
0.0,NSE_FO,NIFTY,NSE,1798568999000.0,CE,NIFTY,NIFTY,NSE_FO|50978,65.0,1755.0,50978,65.0,5.0,INDEX,INDEX,NIFTY 27000 CE 29 DEC 26,27000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
0.0,NSE_FO,NIFTY,NSE,1798568999000.0,PE,NIFTY,NIFTY,NSE_FO|50979,65.0,1755.0,50979,65.0,5.0,INDEX,INDEX,NIFTY 27000 PE 29 DEC 26,27000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
0.0,NSE_FO,NIFTY,NSE,1814293799000.0,CE,NIFTY,NIFTY,NSE_FO|50981,65.0,1755.0,50981,65.0,5.0,INDEX,INDEX,NIFTY 27000 CE 29 JUN 27,27000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
0.0,NSE_FO,NIFTY,NSE,1814293799000.0,PE,NIFTY,NIFTY,NSE_FO|50984,65.0,1755.0,50984,65.0,5.0,INDEX,INDEX,NIFTY 27000 PE 29 JUN 27,27000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50730,65.0,1755.0,50730,65.0,5.0,INDEX,INDEX,NIFTY 25650 PE 16 JUN 26,25650.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50731,65.0,1755.0,50731,65.0,5.0,INDEX,INDEX,NIFTY 25700 CE 16 JUN 26,25700.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50733,65.0,1755.0,50733,65.0,5.0,INDEX,INDEX,NIFTY 25700 PE 16 JUN 26,25700.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50734,65.0,1755.0,50734,65.0,5.0,INDEX,INDEX,NIFTY 25750 CE 16 JUN 26,25750.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50736,65.0,1755.0,50736,65.0,5.0,INDEX,INDEX,NIFTY 25750 PE 16 JUN 26,25750.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50737,65.0,1755.0,50737,65.0,5.0,INDEX,INDEX,NIFTY 25800 CE 16 JUN 26,25800.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50738,65.0,1755.0,50738,65.0,5.0,INDEX,INDEX,NIFTY 25800 PE 16 JUN 26,25800.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50739,65.0,1755.0,50739,65.0,5.0,INDEX,INDEX,NIFTY 25850 CE 16 JUN 26,25850.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50720,65.0,1755.0,50720,65.0,5.0,INDEX,INDEX,NIFTY 25550 PE 16 JUN 26,25550.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50727,65.0,1755.0,50727,65.0,5.0,INDEX,INDEX,NIFTY 25600 CE 16 JUN 26,25600.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50728,65.0,1755.0,50728,65.0,5.0,INDEX,INDEX,NIFTY 25600 PE 16 JUN 26,25600.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50729,65.0,1755.0,50729,65.0,5.0,INDEX,INDEX,NIFTY 25650 CE 16 JUN 26,25650.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50750,65.0,1755.0,50750,65.0,5.0,INDEX,INDEX,NIFTY 26050 CE 16 JUN 26,26050.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50751,65.0,1755.0,50751,65.0,5.0,INDEX,INDEX,NIFTY 26050 PE 16 JUN 26,26050.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50754,65.0,1755.0,50754,65.0,5.0,INDEX,INDEX,NIFTY 26100 CE 16 JUN 26,26100.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50759,65.0,1755.0,50759,65.0,5.0,INDEX,INDEX,NIFTY 26100 PE 16 JUN 26,26100.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50740,65.0,1755.0,50740,65.0,5.0,INDEX,INDEX,NIFTY 25850 PE 16 JUN 26,25850.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50741,65.0,1755.0,50741,65.0,5.0,INDEX,INDEX,NIFTY 25900 CE 16 JUN 26,25900.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50742,65.0,1755.0,50742,65.0,5.0,INDEX,INDEX,NIFTY 25900 PE 16 JUN 26,25900.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50743,65.0,1755.0,50743,65.0,5.0,INDEX,INDEX,NIFTY 25950 CE 16 JUN 26,25950.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50744,65.0,1755.0,50744,65.0,5.0,INDEX,INDEX,NIFTY 25950 PE 16 JUN 26,25950.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50745,65.0,1755.0,50745,65.0,5.0,INDEX,INDEX,NIFTY 26000 CE 16 JUN 26,26000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,PE,NIFTY,NIFTY,NSE_FO|50746,65.0,1755.0,50746,65.0,5.0,INDEX,INDEX,NIFTY 26000 PE 16 JUN 26,26000.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
1.0,NSE_FO,NIFTY,NSE,1781634599000.0,CE,NIFTY,NIFTY,NSE_FO|50719,65.0,1755.0,50719,65.0,5.0,INDEX,INDEX,NIFTY 25550 CE 16 JUN 26,25550.0,1.0,,,NSE_INDEX|Nifty 50,NSE_INDEX|Nifty 50,,,,,,,,,,
